gas,flame,dev_mg,label
733.5954192259398,0.0,50.549649553754634,SAFE
698.654873926646,0.0,31.136581908094882,SAFE
715.3947009160762,0.0,64.65046945352357,SAFE
629.8247351690875,0.0,38.65880403552336,SAFE
589.8946612843868,0.0,59.36779278527594,SAFE
807.1811592673052,0.0,53.54254984390063,SAFE
660.735184168304,0.0,24.031175716452168,SAFE
751.0091449061625,0.0,35.57595703135367,SAFE
754.0220407248812,0.0,62.87684345170035,SAFE
664.6297274509417,0.0,15.629356431395557,SAFE
730.165145190745,0.0,14.01652722277899,SAFE
580.6220404165201,0.0,22.68465205311716,SAFE
691.7935430550831,0.0,60.564079376260594,SAFE
726.1641032939581,0.0,51.61688972236159,SAFE
754.0859065413902,0.0,71.07230060499815,SAFE
756.7141049233751,0.0,32.1329857987572,SAFE
691.2815252159044,0.0,24.56594388292883,SAFE
798.1867165570548,0.0,86.68829391361966,SAFE
804.8597503541831,0.0,27.83278949402989,SAFE
709.3839916754565,0.0,31.796456345602124,SAFE
585.4238924701126,0.0,41.59160305282877,SAFE
689.8862400084845,0.0,15.329242073109953,SAFE
712.0853594414714,0.0,48.22523035551042,SAFE
675.4693089356315,0.0,30.75487084699893,SAFE
776.3840682975937,0.0,56.098072937325085,SAFE
660.619130932806,0.0,85.4985674879751,SAFE
717.5179951602801,0.0,14.794946356154814,SAFE
805.5939264956997,0.0,34.1561362157011,SAFE
711.7504547501312,0.0,18.243453258781056,SAFE
604.8525243642822,0.0,44.18644293127427,SAFE
690.3063989361522,0.0,22.81190036588781,SAFE
732.0740449990908,0.0,44.35631186798307,SAFE
577.921512444772,0.0,35.60976597894653,SAFE
651.6594248363123,0.0,36.353704517701416,SAFE
696.2461306353978,0.0,30.287792034674418,SAFE
760.4357531194723,0.0,15.46468017176656,SAFE
756.8354224309477,0.0,-8.439714624208321,SAFE
811.6208403503782,0.0,38.78198425091649,SAFE
776.1809825745969,0.0,58.99620148052253,SAFE
745.6946906330825,0.0,58.00179818311679,SAFE
796.2899731945338,0.0,33.54023924917351,SAFE
761.2749701851519,0.0,60.75968489596505,SAFE
710.9378356486193,0.0,39.836896742643084,SAFE
853.3680823210472,0.0,39.22436247531277,SAFE
735.6736539205943,0.0,73.72582575336983,SAFE
779.4837606488252,0.0,10.964026264768975,SAFE
735.9255542935691,0.0,25.402976039191373,SAFE
596.2321359467503,0.0,25.83306018934246,SAFE
773.9033485522897,0.0,35.516553371440935,SAFE
662.6591850084658,0.0,65.77013672711075,SAFE
741.8713197873284,0.0,0.07780170767519223,SAFE
581.6524690311145,0.0,47.38956366002257,SAFE
685.2792037300463,0.0,41.26753486185422,SAFE
764.2859837986759,0.0,44.13811275805453,SAFE
791.2458965411541,0.0,42.26919182595141,SAFE
585.1997132458927,0.0,30.517819323156715,SAFE
630.9108896659535,0.0,24.006758220063272,SAFE
673.6713516526067,0.0,36.604005265683114,SAFE
776.1962327246221,0.0,33.00909505602018,SAFE
576.7124651447363,0.0,46.39920978525137,SAFE
771.3379876635101,0.0,53.02905296392343,SAFE
685.982687722419,0.0,63.070215734294486,SAFE
620.8444836740327,0.0,50.0788947769566,SAFE
763.7100550682073,0.0,6.555731904241647,SAFE
822.7200894003541,0.0,79.06443082798414,SAFE
726.2557146525427,0.0,42.998435763217735,SAFE
822.0572714995764,0.0,19.012208418910287,SAFE
596.1748876337329,0.0,11.680759647587664,SAFE
882.7811992277711,0.0,56.425756405609505,SAFE
673.0766418020728,0.0,42.499740800875585,SAFE
598.0566179572204,0.0,34.315357860404305,SAFE
779.9848506687599,0.0,51.94545291014923,SAFE
670.7046992050143,0.0,37.64366966471128,SAFE
699.8244384594395,0.0,55.865107472686404,SAFE
755.3870373042665,0.0,44.19845545265843,SAFE
642.4021544821945,0.0,16.475299080243126,SAFE
622.871870118462,0.0,67.62014046185547,SAFE
639.8377578546872,0.0,-3.4161550825268563,SAFE
669.9355396207753,0.0,52.908962368252475,SAFE
712.0680325857672,0.0,39.19611587187247,SAFE
745.3754585695294,0.0,25.201091289416013,SAFE
